Date,AAPL,GE,GOOG,IBM,MSFT
13-04-2011,41.78100967,14.39672852,287.0640259,122.8474274,20.71523666
14-04-2011,41.31985092,14.44005299,288.1748352,123.6116943,20.54550362
15-04-2011,40.70333099,14.46892738,264.3591309,124.5408707,20.50508881
18-04-2011,41.24899673,14.42561245,262.4363098,124.3385544,20.27070045
19-04-2011,41.99603271,14.63499451,259.7912292,123.9339142,20.32727432
20-04-2011,42.56161499,14.72885132,261.8833923,123.446846,20.82031059
21-04-2011,43.59205627,14.40394878,261.5695801,126.0919189,20.62633133
25-04-2011,43.87919235,14.36063004,261.5446777,125.634819,20.69906807
26-04-2011,43.55724716,14.51224995,265.4151611,126.2492752,21.16785049
27-04-2011,43.52369308,14.90935326,267.875946,127.6579285,21.32141876
28-04-2011,43.10106659,14.87325001,267.9805298,127.9650955,21.58813477
29-04-2011,43.52120972,14.7649498,271.0340881,127.8152847,20.94962692
02-05-2011,43.04266357,14.78661346,268.2744446,128.9916992,20.73947716
03-05-2011,43.28131485,14.90213203,265.9481506,129.5311432,20.86071587
04-05-2011,43.45159912,14.63499451,266.8946228,127.8452835,21.06278038
05-05-2011,43.10106659,14.3678503,266.1374512,126.2267761,20.84455109
06-05-2011,43.08988953,14.4472723,266.6505432,127.1148987,20.90921021
09-05-2011,43.20672989,14.49059105,267.8360901,127.2729645,20.87688065
10-05-2011,43.43668365,14.65664768,270.3167725,128.2363739,20.74756432
11-05-2011,43.16073608,14.50503349,266.7252502,127.5740738,20.49700737
12-05-2011,43.07870102,14.54113388,266.526001,129.636261,20.46467781
13-05-2011,42.32419205,14.36063004,263.7862549,127.8901062,20.23028755
16-05-2011,41.42923355,14.2667675,258.2420349,127.0923538,19.85848999
17-05-2011,41.78223801,14.14402676,264.239563,128.3266754,19.94798279
18-05-2011,42.24589157,14.2667675,263.9157715,128.2815247,20.08628464
19-05-2011,42.32792282,14.41116619,264.6330872,128.3944092,20.11069489
20-05-2011,41.66788864,14.16568851,261.0365601,128.070755,19.92357826
23-05-2011,41.56595993,13.99962425,258.2271118,126.6407547,19.66324615
24-05-2011,41.29126358,13.79025078,258.1623535,126.4375153,19.64697456
25-05-2011,41.86179352,13.87689018,258.8647156,126.2569122,19.67951584
26-05-2011,41.64054108,14.02128601,258.0975952,125.8278427,20.07001114
27-05-2011,41.94010162,14.03573227,259.477417,126.0687027,20.14323044
31-05-2011,43.23530579,14.18012619,263.5222473,127.144989,20.34662056
01-06-2011,42.94694519,13.81190395,261.818634,125.3612366,19.87476921
02-06-2011,43.02026367,13.78302956,263.0440369,125.0075226,19.70392227
03-06-2011,42.68964005,13.58808899,260.5633545,124.224762,19.45172691
06-06-2011,42.01842117,13.32816505,259.5571289,123.9989319,19.53307343
07-06-2011,41.27260971,13.34260654,258.5458984,123.2011566,19.57375717
08-06-2011,41.29747772,13.36426258,258.6156311,123.6903458,19.47613144
09-06-2011,41.20425415,13.41480637,257.4002075,124.0666809,19.49240112
10-06-2011,40.50941849,13.22708607,253.8036804,122.8172836,19.28901863
13-06-2011,40.59642029,13.27762604,251.4226074,122.8097229,19.55748749
14-06-2011,41.32233429,13.42924595,253.2358093,123.5247421,19.70392227
15-06-2011,40.61506271,13.27762604,250.5359344,122.1775055,19.31342316
16-06-2011,40.41743088,13.42763329,249.2507477,122.4334106,19.52494621
17-06-2011,39.80836487,13.46404362,241.6044006,123.7656174,19.73646164
20-06-2011,39.19432068,13.45675755,241.3852234,124.2021408,19.90730858
21-06-2011,40.43483353,13.697052,245.5795135,125.1053085,20.14323044
22-06-2011,40.10046387,13.51501369,242.5956879,124.6988602,20.05374336
23-06-2011,41.17193604,13.3839426,239.2133636,125.0300674,20.03747177
24-06-2011,40.56534958,13.08538628,236.5533447,124.2398148,19.76900673
27-06-2011,41.27260971,13.31112289,240.4985504,126.1590118,20.50119781
28-06-2011,41.67286682,13.42763329,245.9032898,127.9578629,20.98931694
